comment,sentiment,confidence
WOW 9.4 millions people saw this course💖💖,Positive,0.641
"5:00 ""the servers explode"" 😂",Neutral,0.595
"Great video! Just curious - where do you typically get those default YAML files from? Is there a website for basic application templates like MongoDB and Express? Since this was pre-GPT era, wondering where you sourced ready-made configurations.",Positive,0.632
"Database Url usually in the built application, is just madnes",Neutral,0.617
it seems hyperkit was discontinued on June 2025,Positive,0.529
"Excellent work, thank you.",Positive,0.978
bad video,Negative,0.41
Made it till the End. Thank you !!,Positive,0.794
"thanks a lot for your efforts, iam getting eeror connecting db, can you help me where could be the issue: error: kubectl logs mongo-express-868b544cd5
error: error from server (NotFound): pods ""mongo-express-868b544cd5"" not found in namespace ""default""
PS C:\Minikube> kubectl logs mongo-express-868b544cd5-lk9s9
Waiting for mongo:27017...
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:32 UTC 2025 retrying to connect to mongo:27017 (2/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:33 UTC 2025 retrying to connect to mongo:27017 (3/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:34 UTC 2025 retrying to connect to mongo:27017 (4/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:35 UTC 2025 retrying to connect to mongo:27017 (5/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:36 UTC 2025 retrying to connect to mongo:27017 (6/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:37 UTC 2025 retrying to connect to mongo:27017 (7/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:38 UTC 2025 retrying to connect to mongo:27017 (8/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:39 UTC 2025 retrying to connect to mongo:27017 (9/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
Thu Sep 18 12:59:40 UTC 2025 retrying to connect to mongo:27017 (10/10)
/docker-entrypoint.sh: line 15: mongo: Name does not resolve
/docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Invalid argument
No custom config.js found, loading config.default.js
Welcome to mongo-express 1.0.2
------------------------


Mongo Express server listening at http://0.0.0.0:8081
←[31mServer is open to allow connections from anyone (0.0.0.0)←[39m
←[31mbasicAuth credentials are ""admin:pass"", it is recommended you change this in your config.js!←[39m",Positive,0.432
"I'm here after searching 2 words, beginner tutorial.",Positive,0.527
This is great content!,Positive,0.937
"Great tutorial. Btw, the userid and password for the mongo-express login is admin and pass.",Positive,0.605
¡Gracias! Excelent work on these videos.,Positive,0.902
"This video is 3.5 hours, but you can tell from the quality that it likely took MANY more hours to produce. THANK YOU very much for such a great tutorial!",Positive,0.853
"Thanks Nana, greatful to spend one first one hour on pure knowledge and upskilling my self, Kudos to you for this great work.

Blessed to find tutor like you, thanks again.",Positive,0.949
every 5 minutes there is advertise😧,Neutral,0.433
How to remember the all attributes you are using for building configuration files yaml for multiple components?,Neutral,0.491
can i use docker for starting the minikube instead of hyperkit,Positive,0.435
"On mac os 15.6.1 getting below error 


(base) srikirankonduri@SriKiranKonduris-MacBook-Pro warrantyapp % minikube start --vm-driver=hyperkit
😄  minikube v1.36.0 on Darwin 15.6.1
✨  Using the hyperkit driver based on user configuration
👍  Starting ""minikube"" primary control-plane node in ""minikube"" cluster
🔥  Creating hyperkit VM (CPUs=2, Memory=4000MB, Disk=20000MB) ...
🔥  Deleting ""minikube"" in hyperkit ...
🤦  StartHost failed, but will try again: creating host: create: Error creating machine: Error in driver during machine creation: hyperkit crashed! command line:
  hyperkit loglevel=3 console=ttyS0 console=tty0 noembed nomodeset norestore waitusb=10 systemd.legacy_systemd_cgroup_controller=yes random.trust_cpu=on hw_rng_model=virtio base host=minikube
🔥  Creating hyperkit VM (CPUs=2, Memory=4000MB, Disk=20000MB) ...
😿  Failed to start hyperkit VM. Running ""minikube delete"" may fix it: creating host: create: Error creating machine: Error in driver during machine creation: hyperkit crashed! command line:
  hyperkit loglevel=3 console=ttyS0 console=tty0 noembed nomodeset norestore waitusb=10 systemd.legacy_systemd_cgroup_controller=yes random.trust_cpu=on hw_rng_model=virtio base host=minikube

❌  Exiting due to PR_HYPERKIT_CRASHED: Failed to start host: creating host: create: Error creating machine: Error in driver during machine creation: hyperkit crashed! command line:
  hyperkit loglevel=3 console=ttyS0 console=tty0 noembed nomodeset norestore waitusb=10 systemd.legacy_systemd_cgroup_controller=yes random.trust_cpu=on hw_rng_model=virtio base host=minikube
💡  Suggestion: Hyperkit is broken. Upgrade to the latest hyperkit version and/or Docker for Desktop. Alternatively, you may choose an alternate --driver
🍿  Related issues:
    ▪ https://github.com/kubernetes/minikube/issues/6079
    ▪ https://github.com/kubernetes/minikube/issues/5780",Neutral,0.548
Thanks,Positive,0.985
"and @ 2:14:25 the syntax in video for ingress config file is deprecated.
this is the latest syntax

[LOL IM NOT ABLE TO COMMENT A YAML FILE IN YOUTUBE COMMENTS, it automatically removing my entire comment. just google or chatgpt the latest syntax for the yaml file]",Neutral,0.5
"also @ 2:13:13 in newer versions of minikube, the ingress-nginx pods are created in their own separate namespace and dont come under kube-system namespace, so if u dont find those pods under kube-sytem,
try doing
> k get ns
and make sure 
""ingress-nginx"" is one of the namespace like this

D:\IMPORTANT\Projects\Kubernetes>k get ns
NAME              STATUS   AGE
default           Active   14h
ingress-nginx     Active   26m
kube-node-lease   Active   14h
kube-public       Active   14h
kube-system       Active   14h

then do
> k get pods -n ingress-nginx
to make sure the ingress-nginx pods are in completed state like this
NAME                                       READY   STATUS      RESTARTS   AGE        
ingress-nginx-admission-create-khtrp       0/1     Completed   0          25m        
ingress-nginx-admission-patch-vx6j9        0/1     Completed   0          25m        
ingress-nginx-controller-67c5cb88f-zq4bq   1/1     Running     0          25m",Neutral,0.62
woah,Neutral,0.519
"18:55 - database statefull set
56:34 - config files instead of options on the command line",Neutral,0.45
we can watch  it in 2025?,Positive,0.371
Thanks a million! This was too comprehensive and wonderful. Learnt k8s from the right place.,Positive,0.823
"2:47:58 you mention we have to use pvc claim inside of our pod configuration but wait, we don't have any pod conifgurations right? We only have deployment manifests... ? So did you mean deployment manifests when you said pod configuration?",Neutral,0.617
"Please note that in the 1:44:57 when the mongodb express page will be loaded, you will be asked for the username and password which is not the username and password you already set in the secrt but it is the express auth credentials. by default the username is admin and password is pass
Username: admin
Password: pass",Neutral,0.536
can you please share this presentation!!!,Positive,0.606
One of the most helpful and effective content available online for understanding Kubernetes ❤,Positive,0.73
Thanks @TechworldwithNana for this amazing video; it clears some of my doubts.,Positive,0.98
"No need to check comments, you can continue with this masterpiece tutorial.  😌",Positive,0.579
"Wanted to express my appreciation. Good Job, Keep going👌",Positive,0.885
meraba  ben recep baltaş,Neutral,0.498
"Thank you very much,",Positive,0.98
"Tips:

brew install qemu

start minikube as -> minikube start --network=socket_vmnet

mongo express creds - username : admin and password: pass",Neutral,0.53
Extremely amazing video. I watched in July 2025 and the contents still hold good. Big thank you to the creator.,Positive,0.91
"Watching in August, 2025. hyperkit is no longer supported so install:
- brew install qemu",Neutral,0.501
Thank you so much!,Positive,0.98
"Hi Nana, Wonderful job nice content clear explanation. Thank you so much for your teaching service.",Positive,0.973
"Super cool intro - Agree with everyone.
 I found one issue with the MongoDb /Mongo Express demo -->
 It required an authotecation. Took me a while to find which one, probably you had it saved already  - deploying with with docker helped to figured it out - there is a default authotecation for user=""admin"", password=""pass"", that one should be entered, then it is possible to  open the mongo express UI. 
Another issue, for me it took quite a time before connecting to database, i am not sure why,  this  helps: ME_CONFIG_MONGODB_URL=""mongodb://mongo-container-name"", but that appears in git documentation of MongoDB, not in docker hub documentation",Positive,0.603
"You're awesome, Nana. Such a brilliant tutorial💜💜💜",Positive,0.931
"UPDATE: This video just helped me land my dream job. I will forever be in your debt. 


For my entire life its amazing humans like this who have been the biggest supporters of my career. Thank you from the bottom of my heart <3",Positive,0.807
Great video and tutorial! Thank you!  Are you still available on Udemy? Cannot find you by the name of this channel.,Positive,0.888
"At 1:46:10, if you are using 'Docker for desktop"" , the port 30001 will get auto-forwarded to some random port on your localhost. When you run ""minikube service mongo-express-service"" it will show two entries.",Neutral,0.535
Best video ever seen,Positive,0.953
"Hi, madam, salute you, really, salute you, I myself am a teacher, rather, a headmaster in government school, I appreciate you for your efforts",Positive,0.726
Great course!,Positive,0.965
Thank you for providing wonderful learning guide for beginners.,Positive,0.917
great tutoral,Positive,0.993
"3:17 physical, virtual, or cloud deployment",Positive,0.443
Thank you for the course. Can you please share the PPT or notes for this one ?,Positive,0.701
"Great work Nana in creating this easy to understand, bottom up approach to understanding Kubernetes. I admit the course took me well over 5 hours but also, make sure I followed along in terminal. I uploaded the project ot github and mentioned your name. Great work",Positive,0.812
Great work ma'am. Thanks a lot for such a detailed organized video with demo sample project  which helps to understand well.,Positive,0.943
Thanks a lot 🥰🥰🥰,Positive,0.955
Thanks a lot for such valuable content. Thanks to you I recently faced an interview and could answer the questions based on Kubernetes. And I got the internship and the PPO.,Positive,0.667
"I am watching this tutorial for two weeks now, going back and re-watching parts to solidify it as I was put in a role that works closely with K8s. I learned a lot, but the StatefulSets explanation was definitely the most confusing one. The ""master"" and ""slave"" confused me a lot too, because Kubernetes itself doesn't assign roles and myapp-0 isn't actually a master pod. It technically could be, but that comes only from the configuration of your application / database. Not from Kubernetes itself, so that's something that tripped me up early on and I had to do more research around it.",Positive,0.501
Thank you 🙂🙂🙂🙂🙂🙂,Positive,0.968
Thank you so much Nana for taking the time to share and curate this content. Have *just* completed this and it has been a great source to improve my knowledge on k8s. I look forward to other no-nonsense content from your channel.... well done! 👏🏼👏🏼👏🏼👏🏼,Positive,0.924
"One observation on 2:13:14 : after installing the ingress addon in minikube the command ""kubectl get pod -n kube-system"" is no longer effective since now ingress-controller pod is in namespace ""ingress-nginx"" so make sure to check out this namespace to verify that ingress was successfully added",Neutral,0.627
"-----Help----
brew install hyperkit
Warning: hyperkit has been deprecated because it is not maintained upstream! It was disabled on 2025-06-21.",Positive,0.484
Thanks!,Positive,0.985
Thank you so much Nana!!!,Positive,0.98
Hyperkit is deprecated btw,Positive,0.522
1:22:35 secret,Neutral,0.695
Can you make an updated version of this video?,Positive,0.584
Watching in June 2025..love it,Positive,0.922
"At 1:40:20, I am not getting 'Database connected' and 'Admin Database connected' when I print logs for mongo-express pod.",Neutral,0.452
Thank you mam,Positive,0.852
"Merci infiniment, Nana !",Positive,0.638
can anyone confirm has much change since this course been out 4 hours ago?,Positive,0.593
Great tutorial.,Positive,0.963
"Watching in June 2025, hope it is not outdated and worth the time.",Positive,0.675
"Thank you so much, Very informative!",Positive,0.974
Excellent teacher very clear concept. Do you have any other tutorial need to explore,Positive,0.801
Thanks!!! I wish I started from here.,Positive,0.907
Dziękujemy.,Neutral,0.448
"Is this still ""valid"" accurate in 2025?",Positive,0.601
"Can you have a namespace inside of a namespace?  For instance.  Application A (has Dev, TST, Prod) Application B (has Dev, TST, Prod) a name space for Application A, and inside of there, a namespace for APP-A-Dev, APP-A-TST, APP-A-PRD, Where Dev may have 1 Replicaser, but Tst and Prod have multiple DB, APP, and other Pods?",Neutral,0.456
Awesome!,Positive,0.974
Did I hear that right? Kubernetes Secrets manager uses base64 encoding to store secrets? That's a bit weak.,Neutral,0.527
"Hello! I love your tutorials! I do have a quick question, at 3:24:49 we have a deployment targeted by the service. In the diagram we have two pods corresponding to that deployment. But in the deployment ""replicas"" has value 1. Shouldn't it be 2? 'cause we have two pod instances running?
Thank you! <3",Positive,0.446
"This is a video from 4 years ago.
Can anyone tell me if the information here is still relevant or if there have been significant gaps in technology in the last 4 years?",Neutral,0.45
So what has changed after this course in K8s? Till now?,Neutral,0.482
"Ok for those who struggled a bit to get the page open in the browser because it was asking for authentication but the creds we gave was rejected , log in with admin as username and pass as password. You can see this in the log printed a few mins back in the video and also in the pod that is currently running in your console. In order to set this as a secret if u refer the docker page it'd site 2 other variables called basic auth. If you set 'em right in the secrets it'd work like a charm.",Neutral,0.646
Thanks!,Positive,0.985
gonna gonna gonna,Neutral,0.496
https://youtu.be/X48VuDVv0do?si=K0VXaMlSw9UdmS8d,Neutral,0.704
CRUD on containers. open a containers terminal. install something inside a container.,Neutral,0.675
https://youtu.be/X48VuDVv0do?si=HJOBKQd3BpCrCelh,Neutral,0.704
"Very nice course. Everything is explained in detail. Only one thing is missing in this course, i.e. Helm chapter is not covered in detail. It is the most important topic in Kubernetes which is used in every project.",Positive,0.691
For mac silicon I'd suggest install qemu and socket_vmnet since hyperkit is deprecated and start minikube using: minikube start --driver qemu --network socket_vmnet,Neutral,0.522
Amazing course. It has something to take away for everyone be it a beginner and intermediate learner.,Positive,0.754
hai nana i done the demo but mongo-express pod is looking for mongo instead of mongo-service i have checked multiple times i have checked config map too its name is mongo-service but its still loading the default value mongo. so please if you a solution let me know,Neutral,0.595
I need more videos like this!,Positive,0.755
Everything is clearly explained! Super!,Positive,0.763
"At 1:45:50 timestamp the mongodb asks for uid & pass entered pass from secrets it's not taking 
Kindy help.",Neutral,0.452
Thanks for your work !,Positive,0.97
it seems hyperkit is deprecated now. what alternate option can we use to follow along with this tutorial?,Positive,0.468
Absolute gold content! Amazing job of explaining Kubernetes fundamentals. Would recommend this to anyone keen to learn. Thanks!!,Positive,0.943
한글자막없나요,Neutral,0.448
За такой видос однозначно лайк и подписка!,Neutral,0.575
"If docker is magic, you're a magician! Thanks for sharing!",Positive,0.833
"Hi Nana! I’m from Russia. I watch your videos with a translator. I’m still new to IT and currently going through training. I really enjoy your animated videos — I’ve repeated a lot and learned so much from them. Thank you for your work! And by the way, you’re a very lovely person :)",Positive,0.892
Best k8s tutorial I could have ever found! Thanks Nana and team. Very very helpful and great video.👏💯,Positive,0.975
@TechWorldwithNana this course has been outdated since mini qube is not outdated and will be disabled on 2025-06-06,Positive,0.418
תודה!,Neutral,0.448
"Amazing Tutorial.. your are really great technical ""GURU"".",Positive,0.988
Thanks!,Positive,0.985
Thank you. Great lesson,Positive,0.983
"note that if you get errors regarding enabling ingress nginx as an addon for minikube due to pod not being started, you've to ssh in minikube and add to /etc/resolv.conf the nameserver your own machine uses (your own /etc/resolv.conf nameserver(s)); after doing that and retrying it will work. note also that now minikube will create a new namespace (ingress-nginx) where the pod and the rest of resources are run",Neutral,0.497
37:57 the API is actually the most powerful as kubectl just uses the API (same as the UI),Neutral,0.536
"@Techworldwithnana im stuck on the mongo express pod connecting with mongodb-service, the error is the mongo express pod searching for mongo instead of mongodb-service. I tried a lot to resolve but nothing helps. Please help me. Tried changing the svc name of mongodb-service to mongi but i dont see database conencted as like in your tutorial",Neutral,0.563
awesome tutorial. thanks.,Positive,0.988
"If the command brew install hyperkit gives you the error
hyperkit: The x86_64 architecture is required for this software

Instead of hyperkit use docker. Run these commands
brew install colima docker
colima start

And instead of 
minikube start --vm-driver=hyperkit

run
minikube start --vm-driver=docker",Neutral,0.593
Thanks!,Positive,0.985
"@TechWorldwithNana,
I am not able to find your course in udemy",Positive,0.51
"@TechWorldwithNana
Your videos are extremely insightful and easy to understand for beginners like me. Thank you so much for creating such amazing videos.
Can you please share the presentation or pdf as well it will be much more helpful",Positive,0.974
"It's an excellent tutorial, but it's not for everyone.
Many people who haven't read and understood certain concepts before wouldn't understand everything.
It's an excellent tutorial for those who have been trying to understand k8s through other, longer, and more in-depth readings.
I mean, it's excellent for rounding out concepts that were left out from previous readings on the subject.
Congratulations, it's a great piece of work!",Positive,0.742
"If anyone stuck at 1:44:58, the browser screen has an alert asking username and password, then your admin username and pass you set in secret won't work, to bypass this alert, in your pod configuration inside mongo-express.yaml just add

        - name: ME_CONFIG_BASICAUTH
          value: ""false""

or if you do want to have that basic auth, you would need to add ME_CONFIG_BASICAUTH_USERNAME and ME_CONFIG_BASICAUTH_PASSWORD in the same manner you added admin username and pass.",Neutral,0.528
"Hi @TechworldwithNana As per the section 44:51 you have told about the list of the comments, can you please me with the link. Please 😀",Neutral,0.65
thank You for such a Excellent resource on K8 your Video made clear everything about K8 ,Positive,0.961
Thanks!,Positive,0.985
Good one. For beginners as well to refresh. Thank you!,Positive,0.957
"AT time 2:13:15, my ingress pod is in ingress-nginx namespace instead of kube-system.",Neutral,0.554
Well-explained concepts about Kubernetes! This is one of the best videos for understanding all Kubernetes concepts. Great job!,Positive,0.93
"1:44:44 service showing unauthorized error in browser.

add below line in mongoexpress.yaml env

        - name: ME_CONFIG_BASICAUTH
          value: ""false""",Neutral,0.483
1:01:41,Neutral,0.425
"how do we resolve this error? ""Warning  BackOff    10s (x8 over 86s)  kubelet            Back-off restarting failed container mongodb in pod mongodb-deployment-5b858bb86d-2fdj9_default(346ae604-76ab-40cc-b8ab-180afd47610a)""",Neutral,0.363
That cop sounds like John Cena.,Positive,0.667
Thanks. I owe you a beer or coffee.,Positive,0.837
"First I want to thank Nana for this excellent course, very well done and very informative! One thing I ran into was the mongo-express setup in the components demo didn't work. I found that the latest release is broken and won't accept any value for ME_CONFIG_MONGODB_SERVER. I had to select the mongo-express:1.0.0 version of the image to get it to work. That isn't your fault of course, just wanted to provide that info for anyone that was smashing their head against the wall like I was.",Positive,0.627
